pair,month,minutes,hole,crossed_minutes,bid_match,ask_match,quality,included,triangulation_pips
GBPUSD,2021-08,31449,False,0,1.0,1.0,True,True,
GBPUSD,2021-09,31420,False,0,1.0,1.0,True,True,
GBPUSD,2021-10,30006,False,0,1.0,1.0,True,True,
GBPUSD,2021-11,31419,False,0,1.0,1.0,True,True,
GBPUSD,2021-12,32776,False,0,1.0,1.0,True,True,
GBPUSD,2022-01,30154,False,0,1.0,1.0,True,True,
GBPUSD,2022-02,28683,False,0,1.0,1.0,True,True,
GBPUSD,2022-03,32982,False,0,1.0,1.0,True,True,
GBPUSD,2022-04,29914,False,0,1.0,1.0,True,True,
GBPUSD,2022-05,31731,False,0,0.9981,0.9981,True,True,
GBPUSD,2022-06,31484,False,0,0.9962,0.9981,True,True,
GBPUSD,2022-07,30146,False,0,1.0,1.0,True,True,
GBPUSD,2022-08,32937,False,0,1.0,1.0,True,True,
GBPUSD,2022-09,31389,False,0,0.9981,0.9981,True,True,
GBPUSD,2022-10,30270,False,0,0.9941,0.9941,True,True,
GBPUSD,2022-11,31565,False,0,0.9943,0.9943,True,True,
GBPUSD,2022-12,31180,False,0,1.0,1.0,True,True,
GBPUSD,2023-01,31577,False,0,1.0,1.0,True,True,
GBPUSD,2023-02,25685,True,0,1.0,1.0,True,False,
GBPUSD,2023-03,23247,True,0,0.9974,0.9974,True,False,
GBPUSD,2023-04,19555,True,0,0.9939,0.9939,True,False,
GBPUSD,2023-05,23310,True,0,1.0,1.0,True,False,
GBPUSD,2023-06,22149,True,0,1.0,1.0,True,False,
GBPUSD,2023-07,21851,True,0,0.9973,0.9973,True,False,
GBPUSD,2023-08,33038,False,0,1.0,1.0,True,True,
GBPUSD,2023-09,29835,False,0,0.984,0.984,False,False,
GBPUSD,2023-10,31778,False,0,1.0,1.0,True,True,
GBPUSD,2023-11,31516,False,0,1.0,1.0,True,True,
GBPUSD,2023-12,28867,False,0,0.9938,0.9918,True,True,
GBPUSD,2024-01,31638,False,0,1.0,1.0,True,True,
GBPUSD,2024-02,30124,False,0,1.0,1.0,True,True,
GBPUSD,2024-03,30082,False,0,1.0,1.0,True,True,
GBPUSD,2024-04,31544,False,0,1.0,1.0,True,True,
GBPUSD,2024-05,32563,False,0,1.0,1.0,True,True,
GBPUSD,2024-06,28715,False,0,1.0,1.0,True,True,
GBPUSD,2024-07,32851,False,0,1.0,1.0,True,True,
GBPUSD,2024-08,31351,False,0,1.0,1.0,True,True,
GBPUSD,2024-09,30161,False,0,1.0,1.0,True,True,
GBPUSD,2024-10,32994,False,0,1.0,1.0,True,True,
GBPUSD,2024-11,29687,False,0,1.0,1.0,True,True,
GBPUSD,2024-12,30338,False,0,1.0,0.998,True,True,
GBPUSD,2025-01,31585,False,0,1.0,1.0,True,True,
GBPUSD,2025-02,28685,False,0,0.9979,0.9979,True,True,
GBPUSD,2025-03,30205,False,0,0.998,0.998,True,True,
GBPUSD,2025-04,31483,False,0,0.9981,0.9981,True,True,
GBPUSD,2025-05,31308,False,0,1.0,1.0,True,True,
GBPUSD,2025-06,30239,False,0,1.0,1.0,True,True,
GBPUSD,2025-07,32991,False,0,1.0,1.0,True,True,
GBPUSD,2025-08,30025,False,0,1.0,1.0,True,True,
GBPUSD,2025-09,31442,False,0,1.0,1.0,True,True,
GBPUSD,2025-10,32735,False,0,0.9982,0.9982,True,True,
GBPUSD,2025-11,28739,False,0,1.0,1.0,True,True,
GBPUSD,2025-12,31595,False,0,1.0,1.0,True,True,
GBPUSD,2026-01,30108,False,0,1.0,1.0,True,True,
GBPUSD,2026-02,28669,False,0,1.0,1.0,True,True,
GBPUSD,2026-03,31706,False,0,1.0,1.0,True,True,
GBPUSD,2026-04,31477,False,0,0.9981,0.9981,True,True,
GBPUSD,2026-05,29385,False,0,0.998,0.998,True,True,
GBPUSD,2026-06,31533,False,0,1.0,1.0,True,True,
GBPUSD,2026-07,32773,False,0,1.0,1.0,True,True,
GBPUSD,2026-08,30282,False,0,1.0,1.0,True,True,
GBPUSD,2026-09,240,True,0,0.0,0.0,False,False,
AUDUSD,2019-01,31783,False,0,1.0,1.0,True,True,
AUDUSD,2019-02,28786,False,0,1.0,1.0,True,True,
AUDUSD,2019-03,30210,False,0,1.0,1.0,True,True,
AUDUSD,2019-04,31630,False,0,1.0,1.0,True,True,
AUDUSD,2019-05,32188,False,0,1.0,1.0,True,True,
AUDUSD,2019-06,28942,False,0,1.0,1.0,True,True,
AUDUSD,2019-07,33039,False,0,1.0,1.0,True,True,
